trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
119,False,"{'a': 0.01, 'e': 0.371659872260533}",20,0,-61.45670620534939,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
120,False,"{'a': 0.01, 'e': 0.3623577544766736}",25,0,-23.457599497808,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
121,False,"{'a': 0.01, 'e': 0.3530194012193304}",20,0,-7.649698543695771,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
122,False,"{'a': 0.01, 'e': 0.34364574631604705}",20,9,7.48739143383795,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.01, 'e': 0.3342377271245026}",30,13,-9.980277490733618,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 0}",1
124,False,"{'a': 0.01, 'e': 0.32479628443877623}",20,0,-36.657097336658566,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
125,False,"{'a': 0.01, 'e': 0.3153223623952687}",25,12,9.024485838160402,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
126,False,"{'a': 0.01, 'e': 0.30581690837828934}",30,19,22.14016846703372,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.01, 'e': 0.29628087292531874}",20,14,-3.1391870595274143,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
128,False,"{'a': 0.01, 'e': 0.2867152096319555}",20,13,-9.93758806262441,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
129,False,"{'a': 0.01, 'e': 0.2771208750565576}",20,16,7.689606996226187,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.01, 'e': 0.26749882862458735}",25,11,-11.713726489087389,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
131,False,"{'a': 0.01, 'e': 0.2578500325326696}",30,12,-66.57969617231427,"{0: 14, 1: 0, 2: 1, 3: 2, 4: 1}",1
132,False,"{'a': 0.01, 'e': 0.2481754516523729}",25,10,-4.0631391260270115,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 0}",1
133,False,"{'a': 0.01, 'e': 0.23847605343372313}",30,18,15.20724278986247,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.01, 'e': 0.22875280780845939}",25,10,-41.78759223357009,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 1}",1
135,False,"{'a': 0.01, 'e': 0.2190066870930415}",20,3,28.788756087834123,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.01, 'e': 0.20923866589141926}",20,0,-63.245376649278015,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
